VARIABLES=X/D,CP(0),CP(30),CP(60),CP(90),CP(120),CP(150),CP(180)
ZONE T="BODY CP AT MACH=  2.36 ALPHA=  0.00"
      2.327993  -0.05010  -0.05295  -0.05268  -0.03270   0.01456   0.07251   0.10014
      2.755995  -0.06730  -0.07294  -0.07941  -0.06777  -0.02903   0.02255   0.04791
      3.000000  -0.07393  -0.08149  -0.09231  -0.08570  -0.05195  -0.00415   0.01986
      3.000000  -0.07393  -0.08149  -0.09231  -0.08570  -0.05194  -0.00414   0.01987
      3.022500  -0.07246  -0.08029  -0.09165  -0.08551  -0.05203  -0.00430   0.01972
      3.067500  -0.07028  -0.07860  -0.09100  -0.08579  -0.05293  -0.00547   0.01851
      3.135000  -0.06615  -0.07524  -0.08921  -0.08537  -0.05330  -0.00610   0.01788
      3.225000  -0.06139  -0.07145  -0.08743  -0.08533  -0.05436  -0.00759   0.01633
      3.337500  -0.05532  -0.06657  -0.08499  -0.08497  -0.05526  -0.00898   0.01488
      3.472500  -0.04862  -0.06122  -0.08237  -0.08469  -0.05643  -0.01077   0.01298
      3.630000  -0.04124  -0.05532  -0.07944  -0.08425  -0.05755  -0.01260   0.01100
      3.810000  -0.03355  -0.04916  -0.07634  -0.08372  -0.05864  -0.01450   0.00891
      4.012500  -0.02572  -0.04285  -0.07306  -0.08297  -0.05952  -0.01626   0.00690
      4.237500  -0.01805  -0.03662  -0.06970  -0.08202  -0.06015  -0.01780   0.00506
      4.485000  -0.01083  -0.03069  -0.06636  -0.08085  -0.06046  -0.01907   0.00345
      4.755000  -0.00422  -0.02516  -0.06302  -0.07939  -0.06035  -0.01989   0.00226
      5.047500   0.00157  -0.02022  -0.05980  -0.07771  -0.05983  -0.02027   0.00150
      5.362500   0.00650  -0.01586  -0.05668  -0.07574  -0.05882  -0.02009   0.00130
      5.700000   0.01042  -0.01226  -0.05381  -0.07365  -0.05747  -0.01947   0.00156
      6.060000   0.01347  -0.00930  -0.05113  -0.07140  -0.05574  -0.01836   0.00235
      6.442501   0.01565  -0.00702  -0.04876  -0.06914  -0.05379  -0.01690   0.00353
      6.847501   0.01705  -0.00536  -0.04671  -0.06694  -0.05173  -0.01520   0.00500
      7.275001   0.01789  -0.00419  -0.04496  -0.06486  -0.04964  -0.01333   0.00670
      7.725000   0.01821  -0.00348  -0.04355  -0.06302  -0.04766  -0.01149   0.00841
      8.197500   0.01827  -0.00303  -0.04240  -0.06137  -0.04582  -0.00969   0.01014
      8.692500   0.01819  -0.00276  -0.04147  -0.05995  -0.04417  -0.00801   0.01178
      9.210000   0.01812  -0.00253  -0.04067  -0.05872  -0.04269  -0.00645   0.01334
      9.750000   0.01807  -0.00234  -0.04002  -0.05771  -0.04145  -0.00511   0.01469
     10.000000   0.01793  -0.00239  -0.03989  -0.05743  -0.04109  -0.00472   0.01509
ZONE T="BODY CP AT MACH=  2.36 ALPHA= 12.00"
      0.000000   0.11857   0.12518   0.15744   0.24118   0.38707   0.54978   0.62479
      0.027563   0.11514   0.12159   0.15338   0.23641   0.38148   0.54362   0.61843
      0.036025   0.11412   0.12050   0.15208   0.23482   0.37962   0.54158   0.61634
      0.047066   0.11282   0.11911   0.15045   0.23285   0.37729   0.53902   0.61372
      0.061462   0.11109   0.11727   0.14830   0.23026   0.37425   0.53567   0.61028
      0.080210   0.10886   0.11490   0.14554   0.22694   0.37034   0.53137   0.60586
      0.104591   0.10597   0.11182   0.14198   0.22265   0.36528   0.52581   0.60014
